Year,Closing level,Change in Index in Points,Change in Index in %
1950,30.18,−2.42,−7.42
1951,65.01,34.83,115.41
1952,59.75,−5.26,−8.09
1953,74.09,14.34,24.00
1954,135.28,61.19,82.59
1955,148.81,13.53,10.00
1956,137.8,−11.01,−7.40
1957,144.97,7.17,5.20
1958,232.23,87.26,60.19
1959,417.79,185.56,79.90
1960,534.09,116.30,27.84
1961,489.79,−44.30,−8.29
1962,386.32,−103.47,−21.13
1963,438.95,52.63,13.62
1964,477.89,38.94,8.87
1965,422.36,−55.53,−11.62
1966,333.36,−89.00,−21.07
1967,503.22,169.86,50.95
1968,555.62,52.40,10.41
1969,622.38,66.76,12.02
1970,443.86,−178.52,−28.68
1971,473.46,29.60,6.67
1972,536.36,62.90,13.29
1973,403.88,−132.48,−24.70
1974,401.79,−2.09,−0.52
1975,563.25,161.46,40.19
1976,509.02,−54.23,−9.63
1977,549.34,40.32,7.92
1978,575.15,25.81,4.70
1979,497.79,−77.36,−13.45
1980,480.92,−16.87,−3.39
1981,490.39,9.47,1.97
1982,552.77,62.38,12.72
1983,773.95,221.18,40.01
1984,820.91,46.96,6.07
1985,1366.23,545.32,66.43
1986,1432.25,66.02,4.83
1987,1000.0,−432.25,−30.18
1988,1327.87,327.87,32.79
1989,1790.37,462.50,34.83
1990,1398.23,−392.14,−21.90
1991,1577.98,179.75,12.86
1992,1545.05,−32.93,−2.09
1993,2266.68,721.63,46.71
1994,2106.58,−160.10,−7.06
1995,2253.88,147.30,6.99
1996,2888.69,634.81,28.17
1997,4249.69,1361.00,47.11
1998,5002.39,752.70,17.71
1999,6958.14,1955.75,39.10
2000,6433.61,−524.53,−7.54
2001,5160.1,"−1,273.51",−19.79
2002,2892.63,"−2,267.47",−43.94
2003,3965.16,1072.53,37.08
2004,4256.08,290.92,7.34
2005,5408.26,1152.18,27.07
2006,6596.92,1188.66,21.98
2007,8067.32,1470.40,22.29
2008,4810.2,"−3,257.12",−40.37
2009,5957.43,1147.23,23.85
2010,6914.19,956.76,16.06
2011,5898.35,"−1,015.84",−14.69
2012,7612.39,1714.04,29.06
2013,9552.16,1939.77,24.77
2014,9805.55,253.39,2.65
2015,10743.01,937.46,9.56
2016,11481.06,738.05,6.87
2017,12917.64,1436.58,12.51
2018,10558.96,"−2,358.68",−18.26
2019,13249.01,2690.05,25.48
2020,13718.78,469.77,3.55
2021,15884.86,2166.08,15.79
2022,13923.59,"−1,961.27",−12.35
2023,16751.64,2828.05,20.31
2024,19909.14,3157.50,18.85
